Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,0,29084411.87,,0,,
Type,Area Name,License #,Well UWI/ Facility Surface Location,Status,Formation,Licensee,Company WI%,Unit Name,Offer Op,Offer N-O,Deemed Assets,Deemed Liability,Cascade,Other Offers,,
Facility,-,F11114, 00/10-16-049-23W4,-,-,AlphaBow,-,-,x,-,0,228600,x,,, 
Facility,-,F12029, 00/11-12-052-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,, 
Facility,-,F12356, 00/13-12-053-01W6,-,-,AlphaBow,-,-,x,-,0,295625,x,,, 
Facility,-,F12357, 00/09-21-053-01W6,-,-,AlphaBow,-,-,x,-,0,295625,x,,, 
Facility,-,F13811, 00/09-28-062-14W4,-,-,AlphaBow,-,-,x,-,0,119375,x,,, 
Facility,-,F13948, 00/16-05-063-13W4,-,-,AlphaBow,-,-,x,-,0,119375,x,,,
Facility,-,F156, 00/04-01-006-19W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F157, 00/10-35-006-19W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F20857, 00/03-04-036-23W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F21308, 00/06-36-049-14W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F215, 00/16-23-007-21W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F21897, 00/04-25-051-15W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F21898, 00/06-13-052-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F21899, 00/12-36-049-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F22265, 00/10-26-026-11W4,-,-,AlphaBow,-,-,x,-,0,576011,x,,,
Facility,-,F22561, 00/05-23-039-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F25024, 00/15-27-063-14W4,-,-,AlphaBow,-,-,x,-,0,119375,x,,,
Facility,-,F25086, 00/03-03-030-11W4,-,-,AlphaBow,-,-,x,-,0,335000,x,,,
Facility,-,F25366, 00/15-06-041-11W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F25868, 00/11-23-040-10W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F26022, 00/10-08-036-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F26129, 00/06-19-034-10W4,-,-,AlphaBow,-,-,x,-,0,82500,x,,,
Facility,-,F26401, 00/06-32-040-11W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F26503, 00/14-08-036-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F26504, 00/07-08-036-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F26562, 00/12-15-031-15W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F26791, 00/01-24-037-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27199, 00/11-22-051-14W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F27362, 00/07-34-052-14W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F27468, 00/04-15-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27469, 00/16-09-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27534, 00/13-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27622, 00/15-33-031-10W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F27645, 00/14-23-040-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27928, 02/02-17-011-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F27961, 00/11-06-052-13W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F283, 00/08-02-008-19W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F28306, 00/05-17-055-03W6,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F28821, 00/10-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F28822, 02/10-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F28823, 00/12-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F29045, 00/06-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F29046, 00/11-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F29261, 02/09-16-052-07W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F29262, 02/06-33-052-14W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F29358, 02/13-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F29391, 00/07-02-032-14W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F29474, 00/06-03-043-28W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F29801, 00/01-17-036-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F29856, 03/10-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F29885, 00/01-24-055-04W6,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F29934, 00/15-17-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30037, 02/11-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30038, 00/14-18-033-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30039, 00/06-08-034-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30071, 00/08-18-033-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30077, 00/16-24-033-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30089, 00/07-36-033-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30243, 00/10-13-034-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30338, 03/11-35-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F30351, 00/03-06-063-13W4,-,-,AlphaBow,-,-,x,-,0,204375,x,,,
Facility,-,F30352, 00/10-02-064-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F30522, 00/14-03-043-28W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F30540, 00/13-28-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F30555, 00/08-21-050-12W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F31434, 00/13-27-057-16W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F31452, 00/06-24-005-19W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F31454, 00/06-35-005-19W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F31646, 02/09-25-064-14W4,-,-,AlphaBow,-,-,x,-,0,204375,x,,,
Facility,-,F31778, 00/14-24-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F31912, 00/16-29-013-12W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F32202, 00/12-25-042-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32496, 00/13-21-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32498, 00/10-20-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32499, 00/16-19-040-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32562, 00/09-09-034-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32563, 00/16-11-034-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32564, 00/06-12-034-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32565, 00/16-07-034-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32784, 02/05-28-040-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32786, 00/08-29-040-10W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F32801, 00/07-29-005-18W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F32954, 00/08-04-033-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32969, 00/01-11-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F32979, 00/08-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F33060, 00/11-30-042-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F33062, 00/08-05-043-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F33433, 00/16-34-039-17W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F33661, 00/10-27-032-11W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F33789, 00/05-30-039-25W4,-,-,AlphaBow,-,-,x,-,0,885000,x,,,
Facility,-,F34085, 00/05-11-007-20W4,-,-,AlphaBow,-,-,x,-,0,126250,x,,,
Facility,-,F34092, 00/03-04-039-25W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F34176, 00/04-33-051-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F34758, 02/06-36-049-14W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F34824, 00/13-23-056-16W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F35156, 00/11-36-042-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F35320, 00/14-28-042-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F35490, 00/05-34-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F35960, 00/11-36-062-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F36091, 00/06-20-055-18W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F36291, 00/16-07-043-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F36292, 00/08-13-043-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F36378, 00/13-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37104, 00/03-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37129, 00/06-33-040-11W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F37406, 00/06-23-031-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37412, 00/06-13-031-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37414, 00/05-34-042-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37415, 00/14-12-031-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37473, 00/09-09-041-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F3774, 00/08-08-028-11W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F37849, 02/14-20-040-12W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F37865, 02/03-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F37938, 00/04-04-043-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38024, 00/14-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38040, 00/13-25-037-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38113, 00/06-06-042-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38140, 00/08-35-042-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38199, 00/06-09-031-25W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F38221, 00/12-15-042-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38271, 00/01-29-041-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38418, 00/12-34-042-14W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F38434, 00/02-34-042-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38435, 00/15-34-042-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38595, 00/07-05-031-09W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F38774, 00/12-01-043-28W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39123, 00/08-04-043-28W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F39237, 00/01-28-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39350, 00/14-20-041-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39414, 00/06-05-041-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39421, 00/04-16-040-14W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F39593, 00/13-34-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39725, 00/06-21-007-19W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F39735, 00/04-22-040-10W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F39773, 00/01-28-058-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39798, 00/08-12-043-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39840, 00/07-12-051-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39857, 00/15-30-051-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39915, 00/10-13-040-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F39916, 00/13-27-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40254, 00/15-22-040-10W4,-,-,AlphaBow,-,-,x,-,0,272500,x,,,
Facility,-,F40486, 00/01-08-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40664, 00/12-33-040-07W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F40673, 00/11-34-042-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40730, 00/04-15-008-20W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F40735, 00/11-14-056-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40748, 00/06-22-064-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40763, 00/08-21-051-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40860, 00/10-12-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40869, 00/16-18-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40870, 00/03-16-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F40878, 00/12-29-040-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F41245, 00/02-02-041-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F41786, 00/16-27-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F4191, 00/06-01-031-14W4,-,-,AlphaBow,-,-,x,-,0,1443546,x,,,
Facility,-,F42047, 00/01-23-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42065, 02/13-24-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42066, 04/16-23-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
