2661707 Alberta Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
PROJECTED PROFORMA STATEMENT OF EQUITY,,,,,,,,,,,,,,,,,
Unaudited,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2024,,,2025,,,2026,,,2027,,,2028,,,2028,
,Number,Amount,,Number,Amount,,Number,Amount,,Number,Amount,,Number,Amount,,Number,Amount
Common shares,,,,,,,,,,,,,,,,,
"Balance, beginning of year",2000,50000,,2000,50000,,202000,5050000,,202000,5050000,,202000,5050000,,202000,5050000
Shares issued,0,0,,200000,5000000,,0,0,,0,0,,0,0,,0,0
"Balance, end of year",2000,50000,,202000,5050000,,202000,5050000,,202000,5050000,,202000,5050000,,202000,5050000
,,,,,,,,,,,,,,,,,
Deficit ,,,,,,,,,,,,,,,,,
Balance beginning of year,,0,,,0,,,0,,,0,,,0,,,0
Dividends Paid,,0,,,0,,,0,,,0,,,0,,,0
"Balance, end of year",,0,,,0,,,0,,,0,,,0,,,0
,,,,,,,,,,,,,,,,,
Deficit ,,,,,,,,,,,,,,,,,
Balance beginning of year,,-3768,,,-51356,,,,,,,,,,,,
Net income (loss),,-47588,,,,,,,,,,,,,,,
"Balance, end of year",,-51356,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total shareholdersâ€™ deficit ,,-1356,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0,,,,,,,,
Shareholder,No. of Shares,$/Share,,Total Equity,,,,,,,,,,,,,
Tri-Pacific Hydrocarbons Ltd.,1000,25,,25000,,,,,,,,,,,,,
Aiteall Foundation,500,25,,12500,,,,,,,,,,,,,
Tony Kinnon,500,25,,12500,,,,,,,,,,,,,
"Balance September 30, 2024",2000, ,,50000,,,,,,,,,,,,,
Equity Financing,200000,25,,5000000,,,,,,,,,,,,,
"Balance December 31, 2025",200000, ,,5000000,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,
